"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2OP(WT%)","H2OM(WT%)","LOI(WT%)","K(WT%)","AR40(CCMSTP/G)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","PB(PPM)","TH(PPM)","U(PPM)","ND143_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB207_PB206","HF176_HF177","LU176_HF177","YB176_HF177","PB206_U238","PB207_U235","AGE(MA): altern. values or methods","","","","AGE_PB207_PB206(MA)",
"1958"," [3600] YAMAGUCHI M. (1958)","samp. 10","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / AWAJI-SHIMA","SETOUCHI VOLCANIC ZONE, SANUKI","32.5","132","34.5","135","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","MIOCENE","UPPER","WHOLE ROCK","","","","","63.93","0.5","16.46","","","2.45","2.35","4.66","2.58","0.18","","2.71","4.15","0.1","0.15","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1971"," [3846] PHILPOTTS J. A. (1971)","samp. GSFC#215","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / NIJO","ISSI MAKURI, EAST OF OSAKA","34.7","135.6","34.7","135.6","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","BASAL CHILLED MARGIN","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","536","","43.1","","18.2","3.75","1.04","4.26","","","","2.27","","2.1","0.385","","","","","","","","","","","","","","","","","","","","",
"1957"," [4734] MORIMOTO R. (1957)","samp. N2","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / NIJO / KASUGAYAMA LAVA","NEAR OSAKA","34.7","135.6","34.7","135.6","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE, ANDESINE-HYPERSTHENE","APHANITIC","G-STAGE","MIOCENE","UPPER","WHOLE ROCK","","","","","61.72","0.62","19.18","","","0.53","4.11","5.59","2.12","0.1","","1.99","2.65","0.18","0.45","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1957"," [4734] MORIMOTO R. (1957)","samp. N3","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / NIJO / KOTOKU-LAVA","NEAR OSAKA","34.7","135.6","34.7","135.6","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE, ANDESINE-HYPERSTHENE","APHANITIC","G-STAGE","MIOCENE","UPPER","WHOLE ROCK","","","","","60.19","0.7","17.29","","","1.47","3.77","5.49","2","0.07","","1.85","3.41","0.12","2.86","0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1947"," [4897] KUNO H. (1947)","samp. 5","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU","IKOMASAN, 20 KM  E OF OSAKA CITY","34.7","135.6","34.7","135.6","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","BRONZITE MINERAL","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","BRONZITE","","","PRIMARY","54.68","","1.93","","","","12.59","2.99","25.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1980"," [6343] TATSUMI Y. (1980)","samp. WK-18","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU/UKU JIMA / UKUSHIMA","UKU-JIMA, NAGASAKI AREA, SETOUCHI VOLCANIC BELT","33.2833","129.1251","33.2833","129.1251","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","2.01","4.8E-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","K-AR","","","",
"1980"," [6343] TATSUMI Y. (1980)","samp. WK-3.1","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU","TAKU, SAGA AREA, SETOUCHI VOLCANIC BELT","33.2667","130.1126","33.2667","130.1126","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","2.86","9.3E-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","K-AR","","","",
"1980"," [6343] TATSUMI Y. (1980)","samp. OT-9.3","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU","DAISANGO-YAMA, OITA AREA, SETOUCHI VOLCANIC BELT","33.0014","131.55","33.0014","131.55","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","1.79","8.9E-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2","K-AR","","","",
"1980"," [6343] TATSUMI Y. (1980)","samp. YBK-5.1","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU","KINOKO-DAKE, OITA AREA, SETOUCHI VOLCANIC BELT","33.4459","133.1709","33.4459","133.1709","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","1.49","1.8E-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","K-AR","","","",
"1980"," [6343] TATSUMI Y. (1980)","samp. WK-18","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU/UKU JIMA / UKUSHIMA","UKU-JIMA, NAGASAKI AREA, SETOUCHI VOLCANIC BELT","33.2833","129.1251","33.2833","129.1251","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","2.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1980"," [6343] TATSUMI Y. (1980)","samp. WK-3.1","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU","TAKU, SAGA AREA, SETOUCHI VOLCANIC BELT","33.2667","130.1126","33.2667","130.1126","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","2.91","9.4E-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1980"," [6343] TATSUMI Y. (1980)","samp. OT-9.3","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU","DAISANGO-YAMA, OITA AREA, SETOUCHI VOLCANIC BELT","33.0014","131.55","33.0014","131.55","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","1.79","9.5E-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1980"," [6343] TATSUMI Y. (1980)","samp. YBK-5.1","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU","KINOKO-DAKE, OITA AREA, SETOUCHI VOLCANIC BELT","33.4459","133.1709","33.4459","133.1709","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","1.52","2E-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [6609] SATO H. (1983)","samp. 158","142904","HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHIKOKU","NORTHEAST SHIKOKU, GOSHIKIDAI AREA, KOKUBUDAI TOP","34.3317","133.9381","34.3317","133.9381","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","OLIVINE","1-2","CORE","PRIMARY","40.15","0","0.03","0.03","","","11.08","0.1","48.49","0.15","0.17","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [6609] SATO H. (1983)","samp. 158","142904","HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHIKOKU","NORTHEAST SHIKOKU, GOSHIKIDAI AREA, KOKUBUDAI TOP","34.3317","133.9381","34.3317","133.9381","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","OLIVINE","1-7","","PRIMARY","39.65","0","0.14","0.02","","","15.08","0.11","44.83","0.18","0.17","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [6609] SATO H. (1983)","samp. 158","142904","HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHIKOKU","NORTHEAST SHIKOKU, GOSHIKIDAI AREA, KOKUBUDAI TOP","34.3317","133.9381","34.3317","133.9381","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","OLIVINE","1-4","RIM","PRIMARY","38.36","0","0.16","0","","","18.06","0.1","42.07","0.24","0.15","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1981"," [6830] SATO H. (1981)","samp. 68032915","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHIKOKU","NORTHEAST SHIKOKU, GOSHIKIDAI AREA, RENKOJIYAMA QUARRY","34.3028","133.9414","34.3028","133.9414","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE, ANDESINE","SPARSELY PHYRIC","LAVA FLOW-IV","","","WHOLE ROCK","","","","","64.07","0.56","17.89","","","1.68","2.34","4.43","2.35","0.12","","2.74","4.01","0.03","0.25","0","","","","","","","64","","24","","","","104","277","14","199","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1981"," [6830] SATO H. (1981)","samp. 80032102","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHIKOKU","NORTHEAST SHIKOKU, GOSHIKIDAI AREA, SHIRAMINE ROUTE","34.3375","133.9306","34.3375","133.9306","303","303","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE, ANDESINE","SPARSELY PHYRIC","LAVA FLOW-IV","","","WHOLE ROCK","","","","","65.82","0.5","16.98","","","","3.42","3.95","1.69","0.09","","2.89","4.02","","","","","","","","","","47","","22","","","","117","275","21","214","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1981"," [6830] SATO H. (1981)","samp. 690729A","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHIKOKU","NORTHEAST SHIKOKU, GOSHIKIDAI AREA, KOKUBUDAI S","34.3211","133.9511","34.3211","133.9511","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE, ANDESINE","SPARSELY PHYRIC","LAVA FLOW-IV, BANDED LAVA","","","WHOLE ROCK","","","","","65.91","0.49","17.12","","","","2.94","4.12","1.75","0.09","","2.89","4.2","","","","","","","","","","52","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. 12LJ-13","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","54.51","0.76","13.53","","6.66","","","5.26","6.2","0.07","","1.55","2.42","0.25","","","7.94","","","22","5048","164","444.2","21.1","135.6","25.9","48.6","18.1","63.5","283.2","13.9","138.1","22","3.5","613.4","40.7","73.4","7.8","27.5","4.5","1.3","3.6","0.5","2.7","0.5","1.5","0.2","1.4","0.2","3.6","1.4","3.5","10.1","1.8","0.512174","0.1","0.71069","0.6335","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. 12LJ-14","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","55.53","0.77","13.87","","6.49","","","5.5","6.32","0.06","","1.64","2.49","0.25","","","6.23","","","21.6","4960","164.4","421.6","20","125.9","210.6","42.4","19.1","86.1","416","16.3","150.6","21.9","2.4","995.6","37.6","68.3","7.5","27.3","4.8","1.4","4.1","0.5","3.1","0.6","1.7","0.2","1.6","0.2","3.8","1.4","3.5","8.9","2.1","","","","","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. 12LJ-15","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","60.73","0.68","12.51","","5.67","","","5.06","4.67","0.05","","1.24","2.19","0.22","","","5.96","","","19.7","4498","145.6","384.4","16.8","110.5","300","33.9","17","61","264.2","15.1","135.5","20.2","3.9","255.2","31.6","59.5","6.7","25","4.4","1.2","3.8","0.5","2.8","0.5","1.5","0.2","1.4","0.2","3.5","1.3","3.6","8","2.1","0.512215","0.11","0.710295","0.6524","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. LJ-3","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","54.93","0.71","13.1","","7.08","","","5.23","6.96","0.07","","1.25","2.83","0.21","","","6.97","","","22.2","5420","194","500.2","29.3","138.7","95.5","61.5","18.2","72.7","279.6","15.9","130","21.1","2.3","391.8","36.3","67.8","7.4","26.9","4.6","1.3","3.9","0.5","3","0.6","1.7","0.2","1.5","0.2","3","1.3","2","6.6","1.9","","","","","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. LJ-4","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","56.87","0.73","14.16","","6.75","","","5.95","5.43","0.05","","1.28","2.73","0.22","","","5.2","","","21.4","5380","193.3","460.8","25.3","127","461.2","51.2","19.3","74.9","346.4","14.2","133.8","21","3","316.6","27.8","52","5.7","21.4","3.9","1.2","3.4","0.5","2.6","0.5","1.4","0.2","1.3","0.2","3.1","1.3","2.8","6.9","2","","","","","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. LJ-5","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","55.7","0.77","14.47","","7.5","","","3.65","7.23","0.06","","1.17","3.11","0.22","","","5.44","","","24","5886","207.6","521.8","22.6","130.1","318.6","52.4","20.9","70.6","274.4","13.8","134.3","22.1","2.9","334.6","26.5","50","5.5","20","3.5","1","3.1","0.4","2.5","0.5","1.5","0.2","1.4","0.2","3.1","1.3","1.4","7.1","2","","","","","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. 12LJ-05","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","63.61","0.52","14.41","","3.44","","","2.81","2.58","0.05","","1.2","4.96","0.19","","","5.09","","","11.1","3508","92.1","88.7","7","16.7","3.3","30.6","19.4","70.9","241.2","12.8","143","21.9","4.1","226.6","25.5","46.5","5.1","19.1","3.5","1","3.1","0.4","2.4","0.5","1.3","0.2","1.2","0.2","3.8","1.5","4.4","8","2","","","","","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. LJ15-52","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","64.81","0.44","13.75","","3.58","","","4.05","2.36","0.05","","1.04","3.08","0.17","","","6.38","","","9.8","3422","82.1","68.6","13.7","19.1","15.4","101.7","18.3","50.3","412.2","10.3","144.6","20.8","3","139.6","32.5","58.7","6.2","20.9","3.4","1","2.9","0.4","2.2","0.5","1.3","0.2","1.4","0.2","4.2","1.6","12.7","12","2.8","","","","","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. LJ15-53","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","65.83","0.6","15.4","","4.23","","","2.15","2.88","0.08","","2.6","3.73","0.2","","","2.05","","","13.4","4330","115.8","90.4","11.9","25.5","12.5","119.1","20.1","63.7","498","15.2","161.9","24.9","2.1","1088.6","37.8","68.7","7.4","25.7","4.6","1.5","4","0.6","3.3","0.7","1.8","0.3","1.8","0.3","4.6","2.1","14.1","14","3.3","0.512086","0.11","0.709438","0.3695","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. LJ15-54","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512244","0.1","0.710103","0.5284","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. LJ15-55","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51218","0.1","0.709206","0.2965","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. LJ15-69","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51217","0.11","0.708843","0.3516","","","","","","","","","","","",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. 12LJ-15","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ZIRCON","LJ15-15@01","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9239","286.51","467.07","","","","","0.05715","","","","0.0704","0.55487","448","PB207_U235  AGE","439","PB206_U238  AGE","497",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. 12LJ-15","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ZIRCON","LJ15-15@02","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.36945","261.41","425.37","","","","","0.0557","","","","0.07066","0.54281","440","PB207_U235  AGE","440","PB206_U238  AGE","440",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. 12LJ-15","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ZIRCON","LJ15-15@03","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.36098","220.4","380.83","","","","","0.05576","","","","0.07048","0.54201","440","PB207_U235  AGE","439","PB206_U238  AGE","443",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. 12LJ-15","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ZIRCON","LJ15-15@04","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.95981","245.25","393.57","","","","","0.05615","","","","0.07085","0.54863","444","PB207_U235  AGE","441","PB206_U238  AGE","458",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. 12LJ-15","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ZIRCON","LJ15-15@05","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.97806","160.92","295.78","","","","","0.05566","","","","0.07055","0.54152","439","PB207_U235  AGE","439","PB206_U238  AGE","439",
"2019 "," [22773] YANG LIMING(2019)  [GeoReM [11822] ]","samp. 12LJ-15","","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ZHABA, CENTRAL QILIAN BLOCK","36","102","36","102","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","SANUKITE","","","PALEOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ZIRCON","LJ15-15@06","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.28795","191.89","387.98","","","","","0.05561","","","","0.0707","0.54217","440","PB207_U235  AGE","440","PB206_U238  AGE","437",
